FID,name,address,chips,crackers,blackbeanc,blackbeans,speltpasta,tortillas,pintobeans,popcorn,milledprod,products,latitude,longitude,addrtype,addrlocat,index
0,Kroger Athens,"919 E State St, Athens, OH 45701",1,1,0,1,1,0,1,1,0,"Chips, Black Bean Chips, Spelt Pasta, Pinto Beans, Popcorn",39.336,-82.069,street_address,RANGE_INTERPOLATED,"Kroger Athens | Chips, Black Bean Chips, Spelt Pasta, Pinto Beans, Popcorn"
1,Athens Farmers Market,"1000 E State St,  Athens, OH 45701",1,1,1,1,1,1,1,1,1,Coming Soon,39.337,-82.0574,street_address,RANGE_INTERPOLATED,Athens Farmers Market | Coming Soon
2,Village Bakery,"268 E State St, Athens, OH 45701",1,1,1,1,0,0,0,0,0,Coming Soon,39.3378,-82.0922,street_address,RANGE_INTERPOLATED,Village Bakery | Coming Soon
3,Seamen's Grocery,"305 W Union St,  Athens, OH 45701",1,1,1,0,0,0,0,0,0,Coming Soon,39.3297,-82.1145,premise,ROOFTOP,Seamen's Grocery | Coming Soon
4,The Farmacy,"28 W Stimson Ave, Athens, OH 45701",1,1,1,1,0,0,0,1,0,Coming Soon,39.332668,-82.0963,premise,ROOFTOP,The Farmacy | Coming Soon
5,Athena Cinema,"20 S Court St, Athens, OH 45701",0,0,0,0,0,0,0,1,0,Coming Soon,39.3284385,-82.1008161,premise,ROOFTOP,Athena Cinema | Coming Soon
6,Atrium Cafe at Ohio University,"Ohio University, Athens OH 45701",1,0,0,0,0,0,0,0,0,Coming Soon,39.324866,-82.102462,bus_station,APPROXIMATE,Atrium Cafe at Ohio University | Coming Soon
7,Busy Day Market,"30 W Stimson Ave, Athens, OH 45701",1,0,0,0,0,0,0,0,0,Coming Soon,39.33234,-82.0952036,street_address,RANGE_INTERPOLATED,Busy Day Market | Coming Soon
8,The Burrito Buggy,"Corner of Court and Union, Athens, OH 45701",1,0,0,1,0,1,0,0,0,Coming Soon,39.3275408,-82.1013318,intersection,APPROXIMATE,The Burrito Buggy | Coming Soon
9,Casa Nueva Restaurant,"6 W State St, Athens, OH 45701",1,0,0,1,0,1,1,0,0,Coming Soon,39.3307152,-82.1014083,street_address,RANGE_INTERPOLATED,Casa Nueva Restaurant | Coming Soon
10,Donkey Coffee,"17 W Washington St, Athens, OH 45701",1,0,0,0,0,0,0,0,0,Coming Soon,39.3292252,-82.101983,street_address,RANGE_INTERPOLATED,Donkey Coffee | Coming Soon
11,Avalance Pizza,"329 E State St, Athens, OH 45701",0,0,0,0,0,0,0,0,1,Coming Soon,39.337124,-82.087102,street_address,ROOFTOP,Avalance Pizza | Coming Soon
12,Kiser's BBQ,"1002 E State St, Athens, OH 45701",1,0,0,1,0,1,0,0,0,Coming Soon,39.3371511,-82.0564578,street_address,ROOFTOP,Kiser's BBQ | Coming Soon
13,Sol Cuban Restaurant,"33 N Court St, Athens, OH 45701",1,0,0,1,0,1,0,0,1,Coming Soon,39.330305,-82.1011081,street_address,RANGE_INTERPOLATED,Sol Cuban Restaurant | Coming Soon
14,Sol Cuban Restaurant,"700 East State St Athens, OH 45701",1,0,0,1,0,1,0,0,1,Coming Soon,39.3378458,-82.0755295,street_address,ROOFTOP,Sol Cuban Restaurant | Coming Soon
15,Holy Guacamole,"Walnut St, The Plains, OH 45780",1,0,0,1,0,1,0,0,1,Coming Soon,39.3782768,-82.1352585,route,GEOMETRIC_CENTER,Holy Guacamole | Coming Soon
16,Zoe Restaurant,"24 E State St, Athens, OH 45701",0,0,0,1,0,0,0,0,1,Coming Soon,39.330855,-82.0999379,street_address,RANGE_INTERPOLATED,Zoe Restaurant | Coming Soon
17,Nelsonville Emporium,"31 Public Square, Nelsonville, OH 45764",1,0,0,0,0,0,0,0,0,Coming Soon,39.460546,-82.232631,street_address,ROOFTOP,Nelsonville Emporium | Coming Soon
18,Acre,"2700 N High St, Columbus, OH 43202",1,0,0,1,0,1,0,1,0,Coming Soon,40.0175384,-83.0116906,premise,ROOFTOP,Acre | Coming Soon
19,Barcelona Restaurant,"263 East Whittier St, Columbus, OH 43206",0,0,0,0,0,0,0,0,1,Coming Soon,39.9442933,-82.9899235,premise,ROOFTOP,Barcelona Restaurant | Coming Soon
20,Bexley Natural Food Market,"508 N Cassady Ave, Columbus, OH 43209",1,1,0,1,0,1,1,1,0,Coming Soon,39.9809456,-82.9316743,premise,ROOFTOP,Bexley Natural Food Market | Coming Soon
21,Celebrate Local Columbus,"3952 Townsfair Way, Columbus, OH 43209",1,1,0,0,0,0,0,0,0,Coming Soon,40.0492074,-82.9164796,street_address,ROOFTOP,Celebrate Local Columbus | Coming Soon
22,G Michael's,"595 S 3rd St, Columbus, OH 43215",0,0,0,0,0,0,0,0,1,Coming Soon,39.9502334,-82.9958462,premise,ROOFTOP,G Michael's | Coming Soon
23,Hill's Market Worthington,"7860 Olentangy River Rd, Columbus, OH 43235",1,1,1,0,0,1,0,0,0,Coming Soon,40.1250942,-83.0352496,street_address,ROOFTOP,Hill's Market Worthington | Coming Soon
24,Hill's Market Downtown,"95 N Grant Ave, Columbus, OH 43215",1,1,1,0,0,1,0,0,0,Coming Soon,39.9653049,-82.9918014,premise,ROOFTOP,Hill's Market Downtown | Coming Soon
25,Earth Fare - Polaris,"1440 Gemini Pl, Columbus, OH 43240",1,1,0,0,0,0,0,0,0,Coming Soon,40.1500751,-82.9786863,street_address,ROOFTOP,Earth Fare - Polaris | Coming Soon
26,Giant Eagle Kingsdale,"3061 Kingsdale Center, Columbus, OH 43221",1,1,0,0,0,0,0,0,0,Coming Soon,40.0199216,-83.0584807,premise,ROOFTOP,Giant Eagle Kingsdale | Coming Soon
27,Giant Eagle Dublin,"6700 Perimeter Loop Rd,Dublin, OH 43017",1,1,0,0,0,0,0,0,0,Coming Soon,40.1027885,-83.1558953,street_address,ROOFTOP,Giant Eagle Dublin | Coming Soon
28,Katalina's Corner Cafe,"1105 Pennsylvania Ave, Columbus, OH 43201",1,0,0,1,0,1,0,0,0,Coming Soon,39.9837166,-83.0158082,premise,ROOFTOP,Katalina's Corner Cafe | Coming Soon
29,Luna Burger,"5760 Westbourne Ave, Columbus, OH 43213",0,0,0,1,0,0,0,0,0,Coming Soon,39.9842178,-82.8455802,street_address,ROOFTOP,Luna Burger | Coming Soon
30,Ohio Tap Room,"1291 W 3rd Ave, Columbus, OH 43212",1,0,0,0,0,0,0,0,0,Coming Soon,39.984677,-83.040096,street_address,ROOFTOP,Ohio Tap Room | Coming Soon
31,Weiland's Market,"3600 Indianola Ave, Columbus, OH 43214",1,1,0,0,0,0,0,0,0,Coming Soon,40.0371821,-82.9996117,street_address,ROOFTOP,Weiland's Market | Coming Soon
32,Whole Foods Easton,"4100 Easton Gateway Dr, Columbus, OH 43219",1,1,1,0,0,0,0,0,0,Coming Soon,40.056427,-82.9066561,street_address,RANGE_INTERPOLATED,Whole Foods Easton | Coming Soon
33,Whole Foods Dublin,"3670 W Dublin Granville Rd, Columbus, OH 43235",1,1,1,0,0,0,0,0,0,Coming Soon,40.0983462,-83.0869952,street_address,ROOFTOP,Whole Foods Dublin | Coming Soon
34,Whole Foods Upper Arlington,"1555 W Lane Ave, Upper Arlington, OH 43221",1,1,1,1,0,1,0,0,0,Coming Soon,40.006602,-83.0525842,street_address,ROOFTOP,Whole Foods Upper Arlington | Coming Soon
35,Tiny Footprint Distribution,"415 Elliott Ave, Cincinnati, OH 45215",1,1,1,1,0,0,0,0,0,Coming Soon,39.2131653,-84.4575686,street_address,ROOFTOP,Tiny Footprint Distribution | Coming Soon
36,Madison's Findlay Market,"110 W Elder St, Cincinnati, OH 45202",1,1,0,0,0,0,0,0,0,Coming Soon,39.115651,-84.518833,street_address,ROOFTOP,Madison's Findlay Market | Coming Soon
37,Whole Foods Rookwood,"United States, 2693 Edmondson Rd, Cincinnati, OH 45209",1,1,0,0,0,0,0,0,0,Coming Soon,39.1454972,-84.4471085,premise,ROOFTOP,Whole Foods Rookwood | Coming Soon
38,Whole Foods Mason,"5805 Deerfield Blvd, Mason, OH 45040",1,1,0,0,0,0,0,0,0,Coming Soon,39.3091425,-84.3166423,street_address,ROOFTOP,Whole Foods Mason | Coming Soon
39,All Things Food Co-op,"114 N Main St, Bryan, OH 4350",1,0,0,0,0,0,0,0,0,Coming Soon,41.4750029,-84.5506175,premise,ROOFTOP,All Things Food Co-op | Coming Soon
40,"Buehler's Fresh Foods, All Locations","1401 Old Mansfield Rd, Wooster, OH 44691",1,1,0,0,0,0,0,0,0,Coming Soon,40.8045552,-81.9601009,street_address,RANGE_INTERPOLATED,"Buehler's Fresh Foods, All Locations | Coming Soon"
41,Local Roots,"140 S Walnut St, Wooster, OH 44691",1,0,0,1,0,1,0,0,0,Coming Soon,40.7972298,-81.9410752,premise,ROOFTOP,Local Roots | Coming Soon
42,Caldwell Food Center Emporium,"110 Olive St, Caldwell, OH 43724",1,0,0,0,0,0,0,0,0,Coming Soon,39.7422575,-81.5065565,street_address,RANGE_INTERPOLATED,Caldwell Food Center Emporium | Coming Soon
43,Fresh Fork,"3800 Woodland Ave, Cleveland, OH 44115",0,1,0,0,0,0,0,0,0,Coming Soon,41.4896032,-81.6616924,premise,ROOFTOP,Fresh Fork | Coming Soon
44,The Going Green Store,"909 River Rd, Granville, OH 43023",1,1,0,0,0,0,0,0,0,Coming Soon,40.0591814,-82.5194957,street_address,RANGE_INTERPOLATED,The Going Green Store | Coming Soon
45,Oberlin IGA,"331 E Lorain St, Oberlin, OH 44074",1,1,0,0,0,0,0,0,0,Coming Soon,41.2930196,-82.205311,premise,ROOFTOP,Oberlin IGA | Coming Soon
47,Heinen's Aurora,"115 N. Chillicothe Rd. Aurora, OH 44202",1,1,0,0,0,0,0,0,0,Coming Soon,41.3203339,-81.3471175,street_address,ROOFTOP,Heinen's Aurora | Coming Soon
48,Heinen's Avon,"35980 Detroit Rd. Avon, OH 44011",1,1,0,0,0,0,0,0,0,Coming Soon,41.4603614,-82.0178468,premise,ROOFTOP,Heinen's Avon | Coming Soon
49,Heinen's Bainbridge,"8482 E. Washington St. Bainbridge, OH 44022",1,1,0,0,0,0,0,0,0,Coming Soon,41.4134782,-81.3389093,street_address,ROOFTOP,Heinen's Bainbridge | Coming Soon
50,Heinen's Bay Village,"434 Dover Center Rd. Bay Village, OH 44140",1,1,0,0,0,0,0,0,0,Coming Soon,41.4836498,-81.9221086,premise,ROOFTOP,Heinen's Bay Village | Coming Soon
