FID,name,address,chips,crackers,blackbeanc,blackbeans,speltpasta,tortillas,adzuki beans,pintobeans,popcorn,milledprod,products,latitude,longitude,addrtype,addrlocat,index
0,Kroger Athens,"919 E State St, Athens, OH 45701",1,1,0,1,1,0,1,1,1,0,"Chips, Crackers, Black Beans, Pinto Beans, Adzuki Beans, Popcorn",39.336,-82.069,street_address,RANGE_INTERPOLATED,"Kroger Athens|Chips, Crackers, Black Beans, Pinto Beans, Adzuki Beans, Popcorn"
1,Athens Farmers Market,"1000 E State St,  Athens, OH 45701",1,1,1,1,1,1,1,1,1,1,"Chips, Crackers, Black Bean Chips, Spelt Pasta, Torillas, Pinto Beans, Adzuki Beans, Popcorn, Milled Products",39.337,-82.0574,street_address,RANGE_INTERPOLATED,"Athens Farmers Market|Chips, Crackers, Black Bean Chips, Spelt Pasta, Tortillas, Pinto Beans, Adzuki Beans, Popcorn, Milled Products"
2,Village Bakery,"268 E State St, Athens, OH 45701",1,1,1,1,0,0,0,0,0,0,"Chips, Crackers, Popcorn",39.3378,-82.0922,street_address,RANGE_INTERPOLATED,"Village Bakery|Chips, Crackers, Popcorn"
3,Seamen's Grocery,"305 W Union St,  Athens, OH 45701",1,1,1,0,0,0,0,0,0,0,"Chips, Crackers, Black Bean Chips, Masa",39.3297,-82.1145,premise,ROOFTOP,"Seamen's Grocery|Chips, Crackers, Black Bean Chips, Masa"
4,The Farmacy,"28 W Stimson Ave, Athens, OH 45701",1,1,1,1,0,0,0,0,1,0,"Chip, Crackers, Black Beans, Popcorn",39.332668,-82.0963,premise,ROOFTOP,"The Farmacy|Chip, Crackers, Black Beans, Popcorn"
5,Athena Cinema,"20 S Court St, Athens, OH 45701",0,0,0,0,0,0,0,0,1,0,Popcorn,39.3284385,-82.1008161,premise,ROOFTOP,Athena Cinema|Popcorn
6,Atrium Cafe at Ohio University,"Ohio University, Athens OH 45701",1,0,0,0,0,0,0,0,0,0,Chips,39.324866,-82.102462,bus_station,APPROXIMATE,Atrium Cafe at Ohio University|Chips
7,Busy Day Market,"30 W Stimson Ave, Athens, OH 45701",1,0,0,0,0,0,0,0,0,0,"Chips, Crackers",39.33234,-82.0952036,street_address,RANGE_INTERPOLATED,"Busy Day Market|Chips, Crackers"
8,The Burrito Buggy,"Corner of Court and Union, Athens, OH 45701",1,0,0,1,0,1,0,0,0,0,"Chips, Black Beans, Tortillas",39.3275408,-82.1013318,intersection,APPROXIMATE,"The Burrito Buggy|Chips, Black Beans, Tortillas"
9,Casa Nueva Restaurant,"6 W State St, Athens, OH 45701",1,0,0,1,0,1,0,1,0,0,"Chips, Black Beans, Pinto Beans, Tortillas",39.3307152,-82.1014083,street_address,RANGE_INTERPOLATED,"Casa Nueva Restaurant|Chips, Black Beans, Pinto Beans, Tortillas"
10,Donkey Coffee,"17 W Washington St, Athens, OH 45701",1,0,0,0,0,0,0,0,0,0,Chips,39.3292252,-82.101983,street_address,RANGE_INTERPOLATED,Donkey Coffee|Chips
11,Avalanche Pizza,"329 E State St, Athens, OH 45701",0,0,0,0,0,0,0,0,0,1,Milled Products,39.337124,-82.087102,street_address,ROOFTOP,Avalance Pizza|Milled Products
12,Kiser's BBQ,"1002 E State St, Athens, OH 45701",1,0,0,1,0,1,0,0,0,0,"Chips, Black Beans, Tortillas",39.3371511,-82.0564578,street_address,ROOFTOP,"Kiser's BBQ|Chips, Black Beans, Tortillas"
13,Sol Cuban Restaurant,"33 N Court St, Athens, OH 45701",1,0,0,1,0,1,0,0,0,1,Milled Products,39.330305,-82.1011081,street_address,RANGE_INTERPOLATED,Sol Cuban Restaurant|Milled Products
14,Sol Cuban Restaurant,"700 East State St Athens, OH 45701",1,0,0,1,0,1,0,0,0,1,Milled Products,39.3378458,-82.0755295,street_address,ROOFTOP,Sol Cuban Restaurant|Milled Products
15,Giant Eagle Market District,"840 W 3rd Ave, Columbus, OH 43212",1,1,1,0,0,0,0,0,0,0,"Chips, Crackers, Black Bean Chips",39.987,-83.0279,,,"Giant Eagle Market District|Chips, Crackers, Black Bean Chips"
16,Zoe Restaurant,"24 E State St, Athens, OH 45701",0,0,0,0,0,0,0,0,0,1,Milled Products,39.330855,-82.0999379,street_address,RANGE_INTERPOLATED,Zoe Restaurant|Milled Products
17,Nelsonville Emporium,"31 Public Square, Nelsonville, OH 45764",1,0,0,0,0,0,0,0,0,0,Chips,39.460546,-82.232631,street_address,ROOFTOP,Nelsonville Emporium|Chips
18,Acre,"2700 N High St, Columbus, OH 43202",1,0,0,1,0,1,0,0,1,0,"Chips, Black Beans, Popcorn, Milled Products",40.0175384,-83.0116906,premise,ROOFTOP,"Acre|Chips, Black Beans, Popcorn, Milled Products"
19,Barcelona Restaurant,"263 East Whittier St, Columbus, OH 43206",0,0,0,0,0,0,0,0,0,1,Milled Products,39.9442933,-82.9899235,premise,ROOFTOP,Barcelona Restaurant|Milled Products
20,Bexley Natural Food Market,"508 N Cassady Ave, Columbus, OH 43209",1,1,0,1,0,1,0,1,1,0,"Chips, Crackers, Tortillas",39.9809456,-82.9316743,premise,ROOFTOP,"Bexley Natural Food Market|Chips, Crackers, Tortillas"
21,Celebrate Local Columbus,"3952 Townsfair Way, Columbus, OH 43209",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",40.0492074,-82.9164796,street_address,ROOFTOP,"Celebrate Local Columbus|Chips, Crackers"
22,G Michael's,"595 S 3rd St, Columbus, OH 43215",0,0,0,0,0,0,0,0,0,1,Milled Products,39.9502334,-82.9958462,premise,ROOFTOP,G Michael's|Milled Products
23,Hill's Market Worthington,"7860 Olentangy River Rd, Columbus, OH 43235",1,1,1,0,0,1,0,0,0,0,"Chips, Crackers, Black Bean Chips, Tortillas",40.1250942,-83.0352496,street_address,ROOFTOP,"Hill's Market Worthington|Chips, Crackers, Black Bean Chips, Tortillas"
24,Hill's Market Downtown,"95 N Grant Ave, Columbus, OH 43215",1,1,1,0,0,1,0,0,0,0,"Chips, Crackers, Black Bean Chips, Tortillas",39.9653049,-82.9918014,premise,ROOFTOP,"Hill's Market Downtown|Chips, Crackers, Black Bean Chips, Tortillas"
25,Earth Fare - Polaris,"1440 Gemini Pl, Columbus, OH 43240",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",40.1500751,-82.9786863,street_address,ROOFTOP,"Earth Fare - Polaris|Chips, Crackers"
26,Giant Eagle Kingsdale,"3061 Kingsdale Center, Columbus, OH 43221",1,1,1,0,0,0,0,0,0,0,"Chips, Crackers, Black Bean Chips",40.0199216,-83.0584807,premise,ROOFTOP,"Giant Eagle Kingsdale|Chips, Crackers, Black Bean Chips"
27,Giant Eagle Dublin,"6700 Perimeter Loop Rd,Dublin, OH 43017",1,1,1,0,0,0,0,0,0,0,"Chips, Crackers, Black Bean Chips",40.1027885,-83.1558953,street_address,ROOFTOP,"Giant Eagle Dublin|Chips, Crackers, Black Bean Chips"
28,Katalina's,"1105 Pennsylvania Ave, Columbus, OH 43201",1,0,0,1,0,1,0,0,0,0,"Chips, Black Beans, Tortillas",39.9837166,-83.0158082,premise,ROOFTOP,"Katalina's |Chips, Black Beans, Tortillas"
